"id","num_changes","created_at","user","tags","min_x","max_x","min_y","max_y"
"77112056","1","2019-11-15 08:22:07.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.4313444","-7.4313444","39.2622764","39.2622765"
"77112679","1","2019-11-15 08:33:47.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.4313444","-7.4313444","39.2622764","39.2622764"
"77158015","1","2019-11-16 08:20:14.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9245092","4.9245093","52.3589832","52.3589833"
"81634833","1","2020-03-01 03:44:57.000","swpk","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.4796795","100.4820721","13.8641791","13.8654684"
"72166786","1","2019-07-12 07:54:40.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","107.7087704","107.7087704","-6.9203324","-6.9203324"
"72170532","1","2019-07-12 09:35:13.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9302649","4.9302649","52.3614003","52.3614003"
"72179120","1","2019-07-12 12:41:30.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9302648","4.9302649","52.3614002","52.3614003"
"72185209","1","2019-07-12 14:48:01.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9244666","4.9244666","52.3577396","52.3577396"
"72185211","1","2019-07-12 14:48:02.000","Shawn Sarwar","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","13.4113653","13.4113653","52.5484493","52.5484493"
"72185894","1","2019-07-12 15:00:01.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9244115","4.9244115","52.3578152","52.3578152"
"79147761","1","2020-01-03 09:10:39.000","Girum Tibebu","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","38.7597072","38.7597072","8.9891687","8.9891687"
"82365972","1","2020-03-18 22:50:09.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.9082647","-79.9079063","8.5382928","8.5386979"
"82366040","1","2020-03-18 22:54:37.000","Patricia Solis","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.9091864","-79.9091864","8.5511140","8.5511140"
"74321926","1","2019-09-10 17:00:55.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9133947","4.9172493","52.3572670","52.3590655"
"74322535","1","2019-09-10 17:18:41.000","markherringer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","4.9133947","4.9172493","52.3572670","52.3590655"
"82418843","0","2020-03-20 06:57:54.000","Pit Wenkin","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82421031","1","2020-03-20 07:57:56.000","muindre","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","36.7811189","36.7811190","-1.3077520","-1.3077519"
"82423590","1","2020-03-20 08:58:10.000","maning","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","121.1027448","121.1029311","14.6244334","14.6247147"
"82424501","1","2020-03-20 09:20:30.000","chomba chishala","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","28.0997797","28.1012736","-12.8348650","-12.8328330"
"82425186","1","2020-03-20 09:37:48.000","chomba chishala","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","28.0990260","28.0991735","-12.8487729","-12.8484277"
"82425475","1","2020-03-20 09:44:43.000","muindre","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","36.6685653","36.6685653","-1.2653633","-1.2653633"
"82425932","1","2020-03-20 09:55:56.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9828631","2.9830911","36.6882874","36.6884298"
"82425986","1","2020-03-20 09:57:26.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9825735","2.9825735","36.6927346","36.6927346"
"82428847","1","2020-03-20 11:08:34.000","Moulahoum","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","2.9729775","2.9732350","36.6932461","36.6934224"
"82430630","1","2020-03-20 12:02:08.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6374143","32.6374143","0.3673421","0.3673421"
"82430732","1","2020-03-20 12:04:59.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6371568","32.6371568","0.3677122","0.3677122"
"82431149","1","2020-03-20 12:17:55.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6357192","32.6357192","0.3636944","0.3636944"
"82431669","0","2020-03-20 12:36:04.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82431682","0","2020-03-20 12:36:24.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82431701","0","2020-03-20 12:36:58.000","mweper","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82438289","1","2020-03-20 15:47:37.000","Ingrid k","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6374142","32.6374143","0.3673421","0.3673421"
"82439884","1","2020-03-20 16:33:26.000","kwaku_boateng","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-1.2978729","-1.2978729","5.1235877","5.1235877"
"82441302","1","2020-03-20 17:18:56.000","pkodame","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-1.2790489","-1.2790489","5.1370121","5.1370121"
"82443944","1","2020-03-20 18:50:27.000","abdcoul","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.0628674","-0.0628674","5.6223696","5.6223697"
"82444081","1","2020-03-20 18:55:53.000","abdcoul","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.0887588","-0.0887587","5.6281043","5.6281043"
"82447431","1","2020-03-20 21:16:29.000","Karen Martinez","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.5485365","-79.5485365","8.9473684","8.9473684"
"82447545","1","2020-03-20 21:21:57.000","Karen Martinez","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.5402217","-79.5402217","8.9520687","8.9520687"
"82449300","1","2020-03-20 23:08:43.000","maradames","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.4531894","-79.4531894","9.0692123","9.0692123"
"82449308","1","2020-03-20 23:09:15.000","Luis Locano","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.3257787","-79.3254766","9.0973086","9.0977119"
"82450640","1","2020-03-21 01:22:22.000","amedsanda","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.6299543","-0.6299543","5.3690742","5.3690742"
"82450699","1","2020-03-21 01:30:36.000","amedsanda","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.6287956","-0.6287956","5.3532436","5.3532436"
"82450716","1","2020-03-21 01:32:45.000","amedsanda","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.6363058","-0.6363058","5.3634556","5.3634556"
"82457327","1","2020-03-21 11:18:44.000","Jolaiya Emmanuel","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","5.1494068","5.1494068","7.2954753","7.2954753"
"82458349","1","2020-03-21 12:30:42.000","maning","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","121.1027448","121.1029311","14.6244334","14.6247147"
"82459520","1","2020-03-21 13:23:18.000","Vinber","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.6137920","-0.6018242","44.8249775","44.8300531"
"82461900","1","2020-03-21 15:15:21.000","Rutherford Otu","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-0.6662393","-0.6662393","6.6519796","6.6519796"
"82463857","0","2020-03-21 16:34:39.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463860","0","2020-03-21 16:34:42.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463862","0","2020-03-21 16:34:44.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463905","0","2020-03-21 16:36:25.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463914","0","2020-03-21 16:36:42.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463920","0","2020-03-21 16:36:58.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}",,,,
"82463928","1","2020-03-21 16:37:22.000","Aury88","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","9.3535915","9.3591613","45.6064572","45.6100543"
"82465104","1","2020-03-21 17:18:34.000","airon90","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","8.9120271","8.9120271","45.5748362","45.5748362"
"82466226","1","2020-03-21 17:58:46.000","ChRogel","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-4.0985611","-4.0926092","47.9840246","47.9879746"
"82466384","1","2020-03-21 18:03:56.000","ChRogel","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-4.0983577","-4.0983576","48.0035168","48.0035169"
"82466742","1","2020-03-21 18:18:08.000","ChRogel","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-4.0943199","-4.0943199","48.0069284","48.0069285"
"82466997","1","2020-03-21 18:30:06.000","ChRogel","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-4.0957869","-4.0957869","48.0100157","48.0100157"
"82468432","1","2020-03-21 19:37:02.000","Tinago","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-79.5082390","-79.5082390","9.0410663","9.0410663"
"82469584","1","2020-03-21 20:33:11.000","pkodame","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-1.2789041","-1.2789041","5.1120657","5.1120657"
"82470270","1","2020-03-21 21:10:04.000","Ashfak_Mahmud","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","91.8074065","91.8074065","22.4977735","22.4977735"
"82471293","1","2020-03-21 22:19:02.000","kwaku_boateng","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-1.2866986","-1.2866986","5.1038348","5.1038348"
"82471396","1","2020-03-21 22:26:20.000","Kanjin Bilinyi Futureman","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","0.3041947","0.3041947","8.4934042","8.4934042"
"82471583","1","2020-03-21 22:41:57.000","Kanjin Bilinyi Futureman","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","0.2313459","0.2313459","8.6114246","8.6114246"
"82472346","1","2020-03-21 23:53:24.000","kwaku_boateng","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-1.2912532","-1.2912532","5.1169225","5.1169225"
"82475355","1","2020-03-22 06:32:46.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6542050","32.6542050","0.3878176","0.3878176"
"82475386","1","2020-03-22 06:37:51.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6452196","32.6452196","0.3787252","0.3787252"
"82475395","1","2020-03-22 06:39:27.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6478428","32.6478428","0.3785052","0.3785052"
"82475481","1","2020-03-22 06:50:26.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6451713","32.6451713","0.3785213","0.3785213"
"82475618","1","2020-03-22 07:04:26.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6131994","32.6131994","0.3552456","0.3552456"
"82475630","1","2020-03-22 07:06:03.000","Wava Stella","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","32.6165414","32.6165414","0.3493126","0.3493126"
"82477161","1","2020-03-22 08:52:48.000","meomancer","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","100.4024614","100.4025793","-0.9079884","-0.9078593"
"82477900","1","2020-03-22 09:30:51.000","timlinux","{""created_by"":""Healthsites.io (osmapi/1.2.2)""}","-7.3499796","-7.3499796","39.4145087","39.4145087"
